日期,地区,排放量,排放量2
1990,Canada,3013.28,2250.395
1991,Canada,2798.229,2185.3
1992,Canada,2678.49,2248.78
1993,Canada,2591.219,2333.434
1994,Canada,2380.701,2482.499
1995,Canada,2513.273,2549.729
1996,Canada,2518.358,2622.939
1997,Canada,2465.328,2734.455
1998,Canada,2429.042,2746.955
1999,Canada,2329.767,2754.933
2000,Canada,2334.399,2705.938
2001,Canada,2315.744,2578.795
2002,Canada,2272.155,2541.794
2003,Canada,2200.802,2508.747
2004,Canada,2211.793,2360.074
2005,Canada,2099.115,2263.787
2006,Canada,1898.27,2108.954
2007,Canada,1853.473,2100.584
2008,Canada,1668.295,2020.361
2009,Canada,1404.159,1888.889
2010,Canada,1294.513,1893.601
2011,Canada,1203.53,1802.471
2012,Canada,1190.589,1693.495
2013,Canada,1177.665,1648.887
2014,Canada,1128.225,1609.994
2015,Canada,1064.366,1543.506
2016,Canada,1042.742,1468.398
2017,Canada,947.867,1492.369
2018,Canada,804.829,1455.716
2019,Canada,711.675,1434.922
2020,Canada,650.937,1308.484
2021,Canada,640.548,1319.53
1990,Australia,1585.176,1620.449
1991,Australia,1569.958,1595.414
1992,Australia,1652.009,1641.269
1993,Australia,1742.286,1684.129
1994,Australia,1764.29,1686.576
1995,Australia,1673.394,1693.054
1996,Australia,1761.386,1744.617
1997,Australia,1817.474,1797.989
1998,Australia,1742.827,1834.893
1999,Australia,1832.244,1874.027
2000,Australia,2342.997,1881.237
2001,Australia,2585.631,1969.75
2002,Australia,2776.333,2056.914
2003,Australia,2776.272,2121.504
2004,Australia,2512.307,2174.421
2005,Australia,2520.124,2194.272
2006,Australia,2482.611,2204.724
2007,Australia,2444.737,2213.76
2008,Australia,2512.381,2266.186
2009,Australia,2597.932,2251.217
2010,Australia,2378.123,2341.224
2011,Australia,2507.024,2292.039
2012,Australia,2518.107,2439.386
2013,Australia,2414.193,2511.495
2014,Australia,2499.565,2527.429
2015,Australia,2384.729,2545.259
2016,Australia,2465.597,2612.503
2017,Australia,2287.739,2687.782
2018,Australia,2083.004,2769.986
2019,Australia,2197.911,2729.715
2020,Australia,2122.282,2975.848
2021,Australia,2221.654,2800.466
1990,Poland,2553.471,1120.565
1991,Poland,2498.639,1110.184
1992,Poland,2229.72,1109.742
1993,Poland,2218.251,1116.217
1994,Poland,2113.669,1100.707
1995,Poland,2043.818,1078.803
1996,Poland,2076.668,1111.468
1997,Poland,1887.579,1054.598
1998,Poland,1702.906,958.895
1999,Poland,1524.372,927.286
2000,Poland,1324.738,868.021
2001,Poland,1282.444,842.299
2002,Poland,1210.526,807.087
2003,Poland,1168.681,816.634
2004,Poland,1147.916,830.651
2005,Poland,1128.943,857.507
2006,Poland,1199.202,870.367
2007,Poland,1109.859,861.99
2008,Poland,877.365,834.772
2009,Poland,758.204,817.791
2010,Poland,824.661,843.068
2011,Poland,776.27,822.669
2012,Poland,746.692,785.627
2013,Poland,702.34,746.069
2014,Poland,653.966,727.561
2015,Poland,638.453,719.033
2016,Poland,518.374,727.846
2017,Poland,505.503,764.94
2018,Poland,480.344,685.996
2019,Poland,396.301,637.864
2020,Poland,385.316,603.872
2021,Poland,392.303,589.49
1990,Spain,2049.492,1309.783
1991,Spain,2071.341,1349.354
1992,Spain,2054.771,1368.181
1993,Spain,1955.138,1306.115
1994,Spain,1904.685,1311.762
1995,Spain,1767.151,1317.877
1996,Spain,1555.74,1303.291
1997,Spain,1623.065,1324.664
1998,Spain,1494.476,1320.962
1999,Spain,1509.121,1324.184
2000,Spain,1387.678,1331.809
2001,Spain,1329.434,1298.548
2002,Spain,1473.605,1321.987
2003,Spain,1221.772,1328.696
2004,Spain,1252.892,1342.486
2005,Spain,1207.032,1318.109
2006,Spain,1075.962,1287.695
2007,Spain,1046.382,1288.951
2008,Spain,384.418,1100.41
2009,Spain,285.55,984.773
2010,Spain,244.83,931.741
2011,Spain,281.529,931.071
2012,Spain,284.804,876.995
2013,Spain,221.797,808.107
2014,Spain,242.552,789.199
2015,Spain,260.15,807.179
2016,Spain,216.759,756.185
2017,Spain,220.003,748.342
2018,Spain,198.566,735.188
2019,Spain,150.791,672.692
2020,Spain,127.489,597.223
2021,Spain,122.733,617.509
1990,Denmark,177.954,293.626
1991,Denmark,238.622,343.353
1992,Denmark,184.084,299.542
1993,Denmark,149.144,298.444
1994,Denmark,151.422,300.615
1995,Denmark,145.16,281.722
1996,Denmark,176.091,315.363
1997,Denmark,104.149,268.405
1998,Denmark,80.501,248.392
1999,Denmark,59.535,229.743
2000,Denmark,32.488,216.886
2001,Denmark,29.854,213.999
2002,Denmark,28.431,211.504
2003,Denmark,35.295,220.783
2004,Denmark,28.762,205.459
2005,Denmark,26.357,197.497
2006,Denmark,30.611,197.49
2007,Denmark,28.269,184.188
2008,Denmark,21.236,168.196
2009,Denmark,15.59,149.339
2010,Denmark,15.477,143.789
2011,Denmark,14.07,135.672
2012,Denmark,12.629,125.509
2013,Denmark,12.716,120.838
2014,Denmark,10.64,111.554
2015,Denmark,9.574,107.789
2016,Denmark,9.954,107.917
2017,Denmark,10.205,105.722
2018,Denmark,10.506,99.985
2019,Denmark,9.269,95.173
2020,Denmark,9.263,88.875
2021,Denmark,8.54,88.692
1990,Japan,1252.29,1961.356
1991,Japan,1243.431,2011.696
1992,Japan,1200.921,1984.613
1993,Japan,1155.707,1967.227
1994,Japan,1212.702,2005.325
1995,Japan,1203.099,2060.599
1996,Japan,1158.435,2056.481
1997,Japan,1193.526,2080.735
1998,Japan,1118.726,1984.402
1999,Japan,1135.82,2023.539
2000,Japan,1130.301,2036.18
2001,Japan,1123.461,2014.503
2002,Japan,1114.55,2062.558
2003,Japan,1087.87,2043.939
2004,Japan,1058.874,1980.619
2005,Japan,1011.739,1959.27
2006,Japan,973.393,1886.73
2007,Japan,930.988,1804.077
2008,Japan,864.451,1670.885
2009,Japan,806.346,1580.616
2010,Japan,776.115,1585.699
2011,Japan,732.472,1525.538
2012,Japan,728.513,1478.503
2013,Japan,719.911,1420.514
2014,Japan,711.56,1366.182
2015,Japan,672.004,1310.871
2016,Japan,637.711,1410.116
2017,Japan,598.222,1326.668
2018,Japan,561.813,1243.27
2019,Japan,523.325,1162.399
2020,Japan,335.207,1038.489
2021,Japan,337.317,1044.22
1990,UK,3579.701,3043.977
1991,UK,3511.505,2964.373
1992,UK,3416.757,2921.374
1993,UK,3102.452,2780.11
1994,UK,2813.905,2725.604
1995,UK,2532.765,2593.831
1996,UK,2154.867,2513.076
1997,UK,1753.466,2331.298
1998,UK,1752.547,2252.255
1999,UK,1360.986,2139.432
2000,UK,1295.888,2055.117
2001,UK,1223.197,1999.194
2002,UK,1102.377,1904.337
2003,UK,1073.011,1867.673
2004,UK,903.178,1808.526
2005,UK,784.478,1783.696
2006,UK,742.111,1719.859
2007,UK,650.359,1643.354
2008,UK,549.886,1470.596
2009,UK,456.086,1285.636
2010,UK,464.091,1259.38
2011,UK,430.206,1169.917
2012,UK,478.641,1193.137
2013,UK,415.314,1131.27
2014,UK,339.921,1054.577
2015,UK,267.078,1012.288
2016,UK,195.89,922.901
2017,UK,188.52,882.384
2018,UK,174.372,839.991
2019,UK,154.092,779.538
2020,UK,132.065,677.93
2021,UK,125.432,677.533
1990,France,1286.42,2177.811
1991,France,1377.698,2222.346
1992,France,1228.224,2206.857
1993,France,1068.548,2094.598
1994,France,994.905,2014.608
1995,France,937.98,1976.694
1996,France,924.054,1951.235
1997,France,781.156,1884.248
1998,France,813.009,1908.037
1999,France,715.28,1869.553
2000,France,615.661,1809.427
2001,France,559.647,1769.611
2002,France,515.756,1725.582
2003,France,497.337,1675.463
2004,France,475.622,1628.857
2005,France,457.07,1579.497
2006,France,424.228,1490.653
2007,France,403.157,1421.191
2008,France,345.926,1343.447
2009,France,292.012,1273.157
2010,France,268.895,1228.872
2011,France,218.733,1171.657
2012,France,215.874,1144.955
2013,France,198.908,1125.975
2014,France,156.729,1049.952
2015,France,149.341,1027.173
2016,France,130.452,978.139
2017,France,126.11,947.862
2018,France,120.454,893.116
2019,France,97.113,840.294
2020,France,88.601,732.559
2021,France,88.563,750.838
